症状,所属证候,证候所有症状
经行发热,肝郁化火经行发热,经前或经期低热，经后即退，月经先期，量多色紫质稱，或行经时间延长，胸闷胁胀，心烦，头荦，或面红目赤，或口苦咽干，舌质偏红，苔薄或黄腻，脉弦数。
经行发热,阴虚火旺经行发热,平时低热缠绵，经行热势升高，月经大多超前，量少色鯖红，心中烦热，口干咽燥，头畢目眩，形体消瘦，舌红苔薄，脉细数。
经行发热,外感风寒经行发热,每届经前或经期，发热恶寒，周身疼痛，头痛鼻塞，月经量少色淡，小腹隐痛，舌淡苔薄白，脉浮缓或浮滑。
经行发热,外感风热经行发热,每届经前或经期，发热不恶寒，鼻流清涕，头痛且胀，口渴咽痛，月经先期而至，经量稍多，色红，舌红苔薄黄，脉浮数。
经行发热,胞宫瘀血经行发热,经前或经期低热，月经量少，色褐质稠，少腹疼痈拒按，或痛如针刺丨或腰强难以转侧，面色厮黑，失眠多梦，口干不欲饮，舌黯红或有挤斑，咏弦涩。
经行发热,气血两虚经行发热,经行微热，月经先期，量多色淡，心悸少寐，面目虚浮，头晕眼花，倦怠神疲，舌胖嫩，苔薄，脉细咯数。
经行头痛,血疲经行头痛,经前或经期头痛如锥刺，痛有定处，经行不爽，量少有挤块，少腹疼痛，舌斯或边有瘀点，苔薄腻，脉弦紧。
经行头痛,肝阳上亢经行头痛,经前或经期头痛，甚或崩顶掣痛，头荦目眩，目胀，心烦易怒，睡眠不安，腰疫耳鸣，或胁痛口苦，月经先期，量多色鲜，舌质偏紫红，苔薄白或薄黄，脉细弦。
经行头痛,血虚经行头痛,经期或经后头空痛，牵掣眼眶、眉棱骨，伴头晕目眩，怕光喜静，心俘少寐，口干咽燥，不思饮食，面色萎黄，月经量少，色淡红，舌淡、苔薄中剥，脉细。
经行头痛,痰湿经行头痛,经前或经行头痛头重，胀闷不淸，呕恶痰多，胸胁满闷，形体肥胖，胺体胀满，经血淸淡或夹有粘液，大便溏薄，舌胖苔白腻，脉弦滑。
经行弦晕,血虚经行眩晕,经行或经后头晕目眩，经行量少，经期后延，色淡红质稀，伴体倦乏力，面色萎黄或无华，心悸少寐，舌淡苔薄，脉细弱。
经行弦晕,阴虚阳亢经行弦晕,经行头牵目眩，耳鸣，甚则天旋地转，经行量少，色红，烦臊易怒，口干咽燥，舌红苔黄，脉弦细数。
经行弦晕,睥虚夹湿经行眩晕,经行前后，头晕而沉重，平时带下量多。胸闷欲呕，纳少便溏，苔白腻，脉搛滑。
经行口糜,宵热熏蒸经行口廉,经前或经期出现口糜，口臭，月经量多，色深红，质稠.口干欲饮，面部座疮，尿黄，便干，或脘腹胀满，舌红苔黄，脉数。
经行口糜,阴虚火旺经行口糜,经行口糜，擠烂疼痛，口燥咽干，月经量少，色红，伴五心烦热，失眠多梦，尿黄少，舌红少苔，脉细数。
经行身痛,血虚经行身痛,经行遍身疫痛麻木，月经量多色淡，面色萎黄，小腹隐痛，头荦目眩，舌淡，苔薄，脉细。
经行身痛,外感风寒经行身痛,经行遍身骨节痠痛，恶寒发热，鼻塞头痛，无汗，月经量少不畅，小腹冷痛，舌淡，苔薄白，脉浮细而紧，若恶风有汗，则脉浮细而缓。
经行身痛,血疲经行身痛,经行周身关节疼痛不适，得热则缓，遇寒则重，伴经期推迟，腹痛，经行有块，量少，平时肢体麻木或痠软无力，舌紫黯，脉沉涩或弦紧。
经行身痒,血虚经行身痒,毎逢经期身痒即作，瘙痒难忍，入夜尤甚，月经后错，量少色淡。伴皮肤干燥，面色不华，舌淡苔薄，脉细。
经行身痒,风热经行身痒,经行身库难耐I遇热尤甚，月经提前，量多色红，伴口干喜冷饮，尿黄便坚，舌红苔黄，脉浮数。
经行身痒,风寒经行身痒,每值经期身痒即作，遇冷或遇风尤甚，经行不畅，量少色黯有块，少腹疼痛，舌淡若薄白，脉迟或缓。
经行搭瘺,血虚经行搭瘺,经行身痒，或痛疼频发，瘙痒难忍，昼轻夜甚，月经后错，量少，皮肤干燥，面色无华，舌淡红苔薄，脉细。
经行搭瘺,风热经行痞瘍,经行皮肤起疼块、风团，色锨红，奇痒不堪，搔之皮肤起痕，进热尤甚，月经提前，量多色红，口干喜饮，尿黄便坚。舌红苔黄，脉浮数。
经行腹痛,肝郁气滞经行腹痛,经前或经行小腹坠胀而痛.经量或多或少，血色或红或紫，或夹有血块，经行不畅，胁痛乳胀，烦躁胸闷，舌质正常或紫餹，脉弦；若肝郁化热，则见目赤口苦，眩晕，胸胁闷胀，月经色紫而粘稠，便秘溲赤，舌黯红，脉细数或弦数。胞官血瘀经行腹痛。经行小腹剧痛，痛引腰慨，经行不畅，经色紫黯有块，挤块下后腹痛减轻，舌錶有瘀斑，脉沉迟而涩。
经行腹痛,寒湿凝滞经行政痈,经前或经期小腹冷痛，得热则减，形寒肢冷，月经后期，经量少，涩滞不爽，经色黯红或夹有血块，大便多溏，带下绵绵，舌鯓或有瘀斑，苔白腻而滑，脉沉紧或沉迟。
经行腹痛,湿热菹结经行睃痛,经前或经期少政剌痛或有灼热感，且拒按，月经提前或先后不定期，经色紫红秽臭，质粘稠，’平时低热起伏，黄白带下，大便干或不爽，小便短赤，舌红苔黄膩，脉滑数。
经行腹痛,气血两虚经行旗痛,经期或经后腹痛绵绵，喜按喜温，月经量少，色淡质稀，面白或蒌黄，头晕心择，倦怠无力，舌淡苔薄白.脉细无力。
经行腹痛,冲任虚寒经行腹痛,经期或经后小腹冷痛，得热痛减，逍寒加剧，经期愆后，量少色淡，带下清稀，腰脊痠痛，背寒胺冷，小便淸长，舌淡嫩，苔薄白，脉沉细。
经行腹痛,肝肾阴虚经行腹痛,经期或经后小腹隐隐作痛，月经量少，色淡红，膝膝痠软，头晕耳鸣，舌红嫩少苔，脉沉细数。
经行腰痛,血虚气滞经行腰痛,经行时期鼷部作痛，少腹坠胀，经量不多，行之不畅，苔薄。脉弦细。
经行腰痛,肝肾亏损经行腰痛,行经时腰痈如折，卧床休息后疼痛逐渐减轻，经期后错，量少色淡，阪膝痠软，舌淡苔白，脉沉细尺弱。
经行呕吐,肝气犯胃经行呕吐,经行之际，吞酸暧气，呕吐频频，心烦易怒，纳呆神疲，经前胸闷乳胀，月经量少，色红夹块，舌红苔薄白，脉弦滑。
经行呕吐,脾胃虚弱经行呕吐,经行之际，呕吐食物，食少瞋胀，大便泄泻，月经先期，纛多色淡，偏寒者，呕吐多为清水，面色咣白，四肢不温，舌淡嫩，脉沉细；偏热者，多为干呕，口燥咽干，胃中嘈杂，舌红苔光剥少津.脉细数。
经行呕吐,痰饮伏胃经行呕吐,经行之际.呕吐痰涎，兼有胃脘痞满，口粘纳呆，饮水即吐。或头荦目眩，月经后错，量少色淡，舌淡红，苔白膩，脉滑。
经行泄泻,脾气虚弱经行泄泻,经行时大便溏薄，次数增加，或有少腹胀痛，月经先期，量多色淡，面色赛黄，面目与四肢虚浮肿胀，口淡乏味，饮食减少，带下绵绵，舌胖淡，苔薄赋，脉播.
经行泄泻,脾肾阳虚经行泄泻,经行大便溏薄或如水样，少腹冷痛且坠，面色苍白或晦黢，形寒肢冷，月经后期，量少，腰痠腿软，小便淸长，带下清稀，舌淡胖，苔薄，脉沉细。肝木犯胃经行泄泻。经前即有泄泻，痛则欲泻，泻后痛减，胸胁胀满，暧气少食，恶心呕吐，经前乳胀，经期小腹胀痛，苔薄腻，脉弦或濡。
经行吐衄,肝郁化火经行吐衄,经前或经期发生吐衄，口苦咽干，面红目赤，头晕而胀，烦躁易怒。夜寐不安，胸胁及乳房胀痛，经行先后无定期，经来不畅，色红量少，少腹胀痛，小便黄赤，舌红苔黄，脉弦数。
经行吐衄,胃火血热经行吐衄,经前或经期吐衄.口渴口臭，喜冷恶热，牙龈肿痛或澳烂出血，经行先期，色红或紫，量多质粘，便干溲赤，舌红苔黄，脉洪数。
经行吐衄,阴虚肺燥经行吐衄,经期或经后吐龃，量少色红，平时头晕耳鸣，咽干鼻燥，干咳音哑，午后漸热，颧赤盗汗，月经量少，色红无块，舌质撇红而干^舌苔花剥或无苔，脉细数无力。
经行吐衄,脾不统血经行吐衄,经期或经后口鼻出血，色淡红质稀薄，面色咣白，倦怠嗜卧，气短儎言，食少腹胀，大便溏泻，带下绵绵，质稀色白，经行量多，或崩或漏，经色浅淡，质地清稀，舌胖淡边有齿痕，脉细弱或虚大无力。
经行便血,宵肠积热经行便血,经前或经期大便下血，色深红或鲜红，或面赤唇干，咽燥口苦，口臭，经来量少，色紫红，质粘拥，甚或经闭不行，便干溲黄，舌红苔黄，咏滑数。
经行便血,脾不统血经行便血,经期大便下血，血色暗淡，胺倦神疲，少气儎言，面色无华
经行浮肿,脾肾阳虚经行浮肿,经行面目浮肿，四肢肿胀，按之凹陷不起，形寒肢冷，腰臃痠软，大便溏薄，小便清白量少，经行量少色淡，舌淡胖，苔薄而滑，脉沉细无力。心悸少寐，或食少便溏，四肢欠温，经行提前而纛多，经色睹淡，舌淡或有齿痕，脉细缓无力。
经行浮肿,脾虚湿滞经行浮肿,每届经前面浮肢肿，按之凹陷.食欲不振，泛泛欲呕，脘腹膨胀，大便多而不实，舌胖淡，苔簿腻，脉漘。
经行浮肿,气滞血疲经行浮肿,经前或经期肢体胂胀不适.乏力，按之随手即起，月经后错。色暗有块，伴经行政痛，胸皖胁助闷胀，善叹息，舌紫黯，脉弦紧。
经行抽搐,血虚经行抽搐,经行胺体抽搐，程度较轻，伴有麻木.经后恢复正常，其月经量多，色淡。面色苍白，舌淡，脉细弱或细滑无力。
经行抽搐,肝郁血虚经行抽搐,经期情绪激动，心中烦乱，睡眠不安，继而四肢抽描，发作时间较长，发病后头晕乏力、肢软，大便多秘结，舌齄红或稍淡，苔少。脉细弦。
经行抽搐,风痰经行抽搐,经期胸闷恶心，头晕目眩，继而四肤抽播，不省人亊，舌苔白腻或薄滅，脉弦滑
经行情志异常,心血不足经行情志异常,经期出现心中懊侬，神情呆滞，精神恍惚，或语言错乱，月经后错，量少色淡，面色少华，失眠健忘，倦怠懒言，舌淡脉细。
经行情志异常,肝郁气滞经行情志异常,经前即神情不宁，烦躁易怒，不能自制.甚则怒而发狂，月经后逐渐减轻或如常人，月经量多，色红，经期提前，平时沉默寡言，胸胁胀闷，烦躁头痛，口苦唇干，舌红苔薄黄，脉弦数。
经行情志异常,痰火上扰经行佾志异常,经行狂躁不安，语无伦次，精神不宁，意识不清，平时带下量多色黄稠，心胸烦闷，饮食少思，夜卧不宁，大便干结，舌红苔黄滅，脉弦滑数。
经断复行,肝肾阴虚经断复行,断经数年，忽然经血来渐，量少，色鲜红，面颊时有烘热或漸红，眩晕耳鸣，或手足心热，心烦失眠，唇红口燥，舌嫩红，脉细数。
经断复行,肝郁化火经断复行,经血忽来，量较多，色紫红或紫黑，质浓稠或夹有血块，心烦易怒。乳房胀痛，寐少梦多，舌红，苔薄白或微黄，脉弦数。
经断复行,脾气虚弱经断复行,经血色淡，量少，面色咣白，肢体困倦，口淡无味，食少，或见浮肿，舌胖淡，脉沉弱。
经断复行,湿毒下注经断复行,经血忽来，色暗红而浓，甚至五色杂见，奇奥难闻，口苦而粘，溲赤便秘，苔黄腻，脉弦细而滑。
经断前后诸症,肝肾阴虚经断前后诸症,月经推迟，稀发或闭经，平时带下量少，阴道干淮，潮热汗出，五心烦热，失眠多梦，腰膝痠软，心烦易怒，头晕耳鸣，胁痛口苦，甚或情志异常，舌红少答，脉细弦数。
经断前后诸症,脾肾阳虚经断前后诸症,月经紊乱，或闭经，面色晦黢，精神蒌靡，气短慊言，食欲不振，形寒肢冷，腰膝疫软，浮肿便溏，舌胖淡，苔薄白，脉沉细无力。
经断前后诸症,心脾两虚经断前后诸症,月经紊乱，或崩或漘，烘热汗出，或怕冷，心悸气短，健忘失眠，面色萎黄，或虚浮，脘腹作胀，纳少便溏，舌淡苔薄，脉细。
经断前后诸症,心肾不交经断前后诸症,月经紊乱，或闭经，心悸怔忡，失眠雔忘，湖热汗出，心烦不宁，舌红少苔，脉沉细数。
白带,脾气虚白带,白带多，质粘，无特殊臭气，终日淋浦不断，纳谷少罄，神疲乏力，四胲痠软，劳累后白带更多，或伴有浮肿，或伴有腹胀，舌淡，苔白或腻，脉缓弱。
白带,肾阳虚白带,白带清稀如水，量多如注，无臭气，小腹和四肢发冷，腰疫腿软，头晕眼花，小便淸长，舌质淡，苔薄白，脉象微弱。
白带,湿热白带,带下色乳白，呈凝乳块状，或豆膺査状，气味腥秽，外阴异常搔痒，或兼阴道刺痛，苔薄臼或黄腻，脉象潘数。
白带,痰湿白带,白带多，质稱粘，痰多，恶心纳差，胸闷腹胀，口淡而腻，舌苔白腻，脉象沉滑。
黄带,湿热黄带,带下量多，色黄绿如脓，有臭气，外阴搔痒，或有刺痛感，毎逢经期症状加重；或带下稠粘如脓，有秽臭气，小腹坠痛，小便觉热，舌苔薄黄，舌质红或正常，脉濡数。
黄带,气虚黄带,黄带日久不止，量多而稀薄，色浅黄无臭气，月经周期不准，经期多延长，腰痠腿软。食欲不振，面部及下肢或见浮肿，舌苔薄白，脉虚缓。
赤白带,湿热赤白带,带下赤白相杂，质粘气秽，量多，绵绵不断，外阴湿痒，甚或肿痛，少抜坠胀而痛，小便赤涩，或频数而痛，脚闷心烦，口干，口苦，舌苔滑贼而黄，脉滑数。
赤白带,肝郁湿热赤白带,白带量多，稠粘而有腥臭，时夹血液，或阴部剌痒，少腹胀痛，心烦易怒，头晕，胁胀，舌边红苔黄，脉弦滑。
赤白带,虚热赤白带,白带多，质稀薄，有时混有血液，阴部干涩灼热，有廣痒感，头晕耳鸣，心悸而烦，口苦咽干，小便色黄，膝疫，舌红苔少或呈花剥，脉细数无力。
赤白带,虚寒赤白带,赤白带下不止，脐旗冷痛，形寒肢冷.多伴不孕，舌淡苔薄，脉沉迟。
五色带,气郁五色带,带下颜色或白或红，气味腥臭，小腹疼痛，精神郁闷，头胀胁疼，或胸闷少食，舌质有时略青，苔白，脉多弦涩。
五色带,湿热五色带,带下色质不一，量或少或多，气味恶臭难闻，常觉头晕乏力，身体消瘦，有时低热，口中粘腻，舌苔腻而微黄，脉弦滑而数。
五色带,阴虚五色带,带下赤多白少，恶臭更甚，小腹疼痛，其痛放射至大腿部或背部，伴有发热，小便频数刺痛，舌质暗红，苔薄黄，脉细数。
五色带,虚寒五色带,五色带下，缠绵日久，量多稀薄，其气腐臭，腰痠腿软，时而睃痛，肌肉消瘦，头目眩晕，身倦神疲，舌淡苔少，脉虚细。
妊娠呕吐,胃气虚妊娠呕吐,索体虚弱，妊娠初期，呕不能食，或食入即吐，脘闷腹胀，精神倦怠，乏力思睡，舌淡苔白，脉滑无力。
妊娠呕吐,胃寒妊娠呕吐,妊娠早期，呕吐不食，或吐清水，中脘作痛，喜热饮食，体倦畏寒，肢冷倦卧，面色青白，舌质淡，苔白滑，脉沉迟。
妊娠呕吐,胃热妊娠呕吐,受孕之后，恶心呕吐，心烦口渴，颜面潮红，喜冷饮，便秘.舌质红，苔黄而干，脉滑数。
妊娠呕吐,痰滞妊娠呕吐,妊娠二、三月，呕吐痰涎或粘沫，头晕目眩，恶心，胸膈满闷，不思饮食^心择气促，口中淡腻，舌质淡，苔白腻，眯滑。
妊娠呕吐,肝热妊娠呕吐,妊娠早期，呕吐酸水或苦水，食入即吐，头目眩晕，口臭口苦，胸闷胁痛，嗳气，舌质红，苔正常或徵黄，脉弦滑而数。
妊娠心烦,阴虚火旺妊娠心烦,妊娠五六月，心中烦闷，坐卧不宁，或五心烦热，或午后漸热，咽燥口干，但不欲多饮，小便短黄，舌质红，苔薄黄而干，或无苔，脉细数而滑。
妊娠心烦,痰火内扰妊娠心烦,孕妇烦闷不安，心悸胆怯，头重眩睪，或中脘满闷，口粘恶食，时有泛恶，呕吐痰涎，苔黄腻，脉滑数。
妊娠心烦,肝郁化火妊娠心烦,妊娠数月，心惊胆怯，烦闷不安，精神抑郁易怒，两胁胀痛，善太息，舌质红，苔薄黄少津，脉弦滑而数。
妊娠咳嗽,风寒妊娠咳嗽,妊娠期咳嗽痰白而稀，兼见喉痒声浊，鼻塞流涕，头痛，四肢痠楚，恶寒发热，无汗，舌苔薄白，脉浮滑。
妊娠咳嗽,风热妊娠咳嗽,妊娠期咳嗽痰黄而粘稠，咳嗽不爽，身热，恶风，或头痛，有汗，口干咽痛，苔薄黄，脉浮数。
妊娠咳嗽,燥热妊娠咳嗽,妊娠期干咳无痰，或咳嗽少痰，咯痰不爽，或痰中带血，兼有鼻燥咽干，或咽喉痒痛，形寒身热，舌尖红，苔薄黄，脉浮数或滑数。
妊娠咳嗽,阴虚妊娠咳嗽,妊娠期干咳无痰，日久不止，或呛咳带血，明干口燥，音哑，两顙发红，午后潮热，舌质红，苔薄黄而干，脉虚细数。
妊娠咳嗽,脾虚痰湿妊娠咳嗽,妊娠期咳嗽褒多，色白易咯出，胸脘痞闷，食少，便溏，苔白賦，脉辅滑。
妊娠咳嗽,肺肾气虚妊娠咳嗽,妊娠期咳瞰气促，咯痰不爽，动则气短，咳则小便自溢，咽干，耳鸣，头晕，腰痠，舌红无苔，脉细数。
妊娠音哑,风寒妊娠音哑,妊娠期间，卒然声音不扬，甚则嘶哑，并兼有咳巇，鼻塞流涕，恶寒发热，苔薄白，脉浮滑等。
妊娠音哑,痰热妊娠音哑,妊娠期间，声音重油不扬，或不能出声，喉间有痰，略痰黄稠，咽干或痛，便秘溲赤，苔黄赃，脉滑数。
妊娠音哑,肺阴虚妊娠音哑,妊娠期间，声音遂渐嘶哑，口干咽燥，或咳嗽气短，舌红少津，脉细数。
妊娠音哑,肾阴虚妊娠音哑,妊娠期间，声音逐渐嘶哑，甚则不能出声，至傍晚加重，有时颧红，头晕，目眩，耳鸣，咽干，腰膝痠软，舌红或有裂纹，苔花剥，脉细数。
妊振肿胀,睥虚湿泛妊振肿胀,妊娠数月，面目虚浮，四肢浮肿，渐及遍身悉肿，肤色淡黄，肿处皮簿光亮，按之凹陷，良久不起，气短乏力，四肢不温，口淡乏味，食欲不振，或大便溏薄，舌质淡，苔薄白而润，脉缓滑无力。
妊振肿胀,肾虚水泛妊娠肿胀,妊娠五六月始，面浮肢肿.肿处皮薄光亮，按之如泥，面色晦黯，心悸气短，下肢逆冷，腰痠腿软，舌质淡，苔白或白腻而润，脉象沉迟。
妊振肿胀,气滞妊娠肿胀,妊振三四月后，肢体肿胀，多自脚始，渐及于腿，肿胀之处，皮色不变，按之凹陷，抬指即复，胸闷胁胀，头眩，心烦易怒，食少，苔白赋，脉弦滑。
妊娠眩晕,阴虚阳亢妊娠眩晕,妊娠五、六月后，头晕目眩，耳鸣，心烦急躁，心悸失眠，腰脊痠痛，两腿痠软，或时有面色潮红，舌质红，少苔或无苔，脉弦细而滑。
妊娠眩晕,气血两虚妊娠眩晕,妊娠后期，头晕目眩，动作时加重，心悸气短，语音低微，心悸少寐，神疲纳呆，皮肤不润，面色苍白，唇淡，舌质淡，苔薄白，脉细滑无力。
妊娠眩晕,脾虚痰湿妊娠眩晕,妊娠后期，头目眩晕，头重，胸脘满闷，恶心纳少，面浮肢肿，倦怠困重，小便短少，大便溏，舌质淡，苔白腻，脉滑无力。
妊娠痉厥,阴虚肝旺妊娠痉厥,妊娠后期，头痛头胀，头晕眼花，视力模糊，或有恶心，心悸气短，手肢发麻，面目及下肢微有浮肿等子痛先兆。病发时卒然昏仆，抽搐，口流白沫，舌红或绛，脉弦劲而数。
妊娠痉厥,脾虚肝旺妊娠疫厥,妊娠后期，水肿逐渐加剧，尿少，胸闷恶心，纳差，并见头痛头重，头畢眼花等子痫先兆。病发时突然仆倒，不省人事，手足抽搐，口流白沫，舌质淡胖，苔薄或腻，脉虚弦而滑。
妊娠瘙痒,血虚风燥妊娠瘙痒,妊娠期间，皮肤瘙痒，甚则遍及全身，皮肤干燥，可见抓痕及血痂，面色萎黄，心悸失眠，头晕眼花，舌淡，苔白，脉滑细。
妊娠瘙痒,肝胆湿热妊娠疫痒,妊娠中、晚期，皮肤瘙痒，甚则遍及全身，皮肤发黄，可见抓痕及血痂，面目发黄，胸胁胀闷，烦躁易怒，口苦咽干，纳呆呕恶，尿黄，便溏，舌红，苔黄腻，脉滑数或弦数。
妊娠发疹,血虚妊娠发疹,妊娠期间，皮肤出现斑丘疫或疱疹，剧烈瘙痒，入夜尤甚，肌肤少泽，面色萎黄，头晕眼花，心择失眠，食少乏力，舌淡，苔白，脉沉细。
妊娠发疹,风热妊娠发疹,妊娠期间，皮肤出现斑丘疹，始见于面部，迅速扩展至全身，伴有发热，头痛，咳嗽，咽痛，流涕，舌红，苔薄黄，脉浮数。
妊娠头痛,气血两虚妊娠头痛,妊娠中、晚期，头痛隐隐，或头脑空痛，头晕眼花，心悸气短，神疲乏力，面色苍白或菱黄，舌淡，脉细弱。
妊娠头痛,肝阳上亢妊娠头痛,妊娠中、晚期，头痛而胀，头晕目眩，面红，口干苦，烦躁易怒，失眠多梦，耳鸣，舌红，苔少，脉弦。
妊娠头痛,痰湿阻滞妊娠头痛,妊娠中、晚期，头痛昏重，头晕目眩，胸脘满闷，呕恶纳呆，面浮肢肿，倦怠嗜卧，舌淡，苔白腻，脉弦滑而缓。
妊娠头痛,风寒妊娠头痛,妊振期间，头痛连及项背，畏风恶寒，骨节疫痛，舌苔薄白，脉浮紧。
妊娠头痛,风热妊娠头痛,妊娠期间，头痛而胀，发热恶风，面红目赤，咽喉肿痛，口渴，舌红，苔薄黄，脉浮数。
妊娠头痛,风湿妊娠头痛,妊娠期间，头痛头重如裹，脘闷纳呆，肢体困重，或溲少便溏，苔白腻，除潘或滑。
妊娠消渴,胃火炽盛妊娠消渴,妊娠期间，口渴喜冷饮，消谷善饥，面红唇赤，烦躁，口臭，大便秘结，小便黄赤，舌红，苔黄燥，脉滑数。
妊娠消渴,胃阴亏虚妊娠消渴,妊娠期间，口渴喜饮，唇燥咽干，或善食易饥，大便干结，舌红少津，苔少或薄白而干，脉滑细数。
妊娠消渴,肝郁化火妊娠消渴,妊娠期间，口渴喜冷饮，口苦咽干，面红目赤，烦躁易怒，胸胁胀闷，舌红，苔黄，脉弦数。
妊娠下放抽筋,血虚妊娠下放抽筋,妊娠后期，时常下肢抽筋疼痛，抽时动弹不得，入睡后尤甚，或心悸失眠，或多梦易醒，舌质正常或稍淡，脉虚滑。
妊娠下放抽筋,寒凝妊娠下肢抽筋,妊娠后期，时有小腿抽痛，遇寒加重，得热则舒，或長寒，或四肢不温，舌苔白滑，脉细滑。
妊娠心腹胀满,肺胃热盛妊娠心腹胀满,妊娠期中，胸膈痞闷胀满，呼吸短促，甚则喘急不安，口渴，心烦少眠，溲赤，便秘，舌质红，苔黄腻，脉洪数。
妊娠心腹胀满,肝郁妊娠心腹胀满,妊娠七八月，胸膈胀满，两胁胀痛，呼吸不利，有气阻闷塞感，烦躁易怒，善太息，苔薄黄，脉弦滑。
妊娠心腹胀满,脾虚气滞妊娠心旗胀满,怀孕后期，心腹胀满，呼吸不畅，或头重眩晕，体倦思卧，四肢乏力，不思饮食，苔薄白，脉虚弦。
妊娠小便不通,脾气虚妊娠小便不通,妊娠七八月，小便不通，或頻而量少，小腹胀急，心悸气短，神疲乏力，头重目眩，舌淡，苔薄，脉虚缓而滑。
妊娠小便不通,肾阳虚妊娠小便不通,妊娠后期，小便频数，滴沥不利，继则闭而不通，小腹胀急，四肢浮肿，面色晦激，体倦畏寒，头晕，腰腿痠软，舌质淡，苔薄白而润，脉沉迟或沉滑无力。
妊娠小便不通,气滞妊娠小便不通,妊娠七八月，突然小便不通，小腹胀急作痛，胸闷胁胀.心烦易怒，善太息，舌苔正常，脉沉弦而滑。
妊娠小便不通,湿热妊娠小便不通,妊娠后期，小便短黄，继而不通，小腹作胀，饮食如故，头重眩胀，大便干燥，或泻而不爽，舌质红，苔黄而腻，脉滑数。
妊娠尿痛,实热妊娠尿痛,妊娠期，小便频数，尿意急迫，短赤灼热，艰涩疼痛，伴口苦，口潘，且喜饮冷，口舌生疮，大便干结，舌质红，苔黄偏干，脉滑数。
妊娠尿痛,虚热妊娠尿痛,妊娠期，小便频数宭涩，点滴而下，色黄灼痛，体瘦颧红，咽燥口干，心烦不宁，舌质嫩红，苔少或无苔，脉细数。
妊娠尿痛,湿热妊娠尿痛,妊娠期，小便涩痛，频数量少，色赤灼热，面色垢黄，肢体倦怠，口苦，心烦，渴不多饮，大便不爽，舌质红，苔黄厚而燥，脉滑数。
妊娠尿痛,气虚妊娠尿痛,妊娠期间，小便滴浙涩痛，色淡黄，或欲解不能，或溲出不禁，常溺后痛甚，小腹坠胀，体倦乏力，舌淡.苔薄白，脉虚滑。
妊娠尿血,心火亢盛妊娠尿血,妊娠期间，小便带血，其色鲜红，心烦口渴，夜寐不安，口舌生疮，小便热赤，舌尖红，苔薄黄，脉滑数。
妊娠尿血,阴虚火旺妊娠尿血,妊娠期尿血，头晕目眩，耳鸣，腰痠腿软，神疲，舌质嫩红，无苔，脉象细数，两尺脉弱。
妊娠尿血,肝经郁热妊娠尿血,妊娠期尿血，心烦口渴，寒热往来，胸胁乳房胀痛，急躁易怒，不思饮食，叹息，舌红，脉弦数。
胎水肿满,脾气亏虚胎水肿满,妊娠五、六月后，胎水过多，腹部迅速增大，手足面目浮肿，小便短少，重则胸闷气喘，不能平卧，舌质淡，苔薄白而润，脉沉细而滑。
胎水肿满,脾肾阳虚胎水肿满,妊娠五、六月后，胎水过多，腹部异常增大，气促心悸，遍身俱肿，腰脊疫痛，两膝软弱，肢冷畏寒，或大便溏薄，面色晦黯或苍黄，舌质淡，苔薄白而滑，脉沉弦滑。
妊振腹痛,虚寒妊振腹痛,妊娠后，小腹冷痛，得热痛减，形寒肢冷，腹胀纳差，舌质淡，苔薄白而滑，脉弦或细弱。
妊振腹痛,血虚妊娠腹痛,妊娠后I小腹绵绵作痛，按之痛缓，头晕目眩，心淨怔忡，口干不欲多饮，面色萎黄，舌淡红，苔薄白，脉细弦滑。
妊振腹痛,气虚妊娠腹痛,妊娠数月，小腹疼痛下坠，时作时止，甚则日发数十次，心慌气短，不耐劳作，稍劳腹痛即发，舌质淡，脉滑无力。
妊振腹痛,风寒妊振腹痛,妊娠小腹冷痛，恶寒发热，头痛身疼.口淡食少，舌质正常，苔薄白，脉浮而滑或浮紧。
妊振腹痛,气滞妊娠腹痛,妊娠数月，小腹胀痛，胸闷胁胀或痛，性急易怒，时时暧气，不欲饮食，苔薄白，脉弦滑。
胎漏,气虚胎漏,妊娠期阴道少量下血，色淡红，质稀，或下黄水，面色咣白，精神倦怠，怕冷，气短，舌质淡，或有齿痕，苔薄白，脉滑而弱。
胎漏,血虚胎漏,妊娠期阴道少量下血，色淡，面色淡黄.头華目眩，心悸少寐，大便干燥，舌质淡红，苔薄黄或无苔，脉滑而细。
胎漏,肾气虚胎漏,妊娠期阴道少量下血，色淡，质稀，腿软乏力，头晕耳鸣，小便频数，舌淡，苔白滑，脉滑或沉弱，两尺尤弱。
胎漏,血热胎漏,妊娠期阴道下血，血色鲜红，面红唇赤，心烦失眠.大便干燥，小便短赤，舌质红，答黄少津，脉滑而数。
胎漏,虚热胎漏,妊娠期阴道少量下血，色红，头目眩晕，心悸少寐，口燥咽干，饮水不多，两颧豳红，午后发热，拿心灼热，舌红无苔，脉细数，两尺尤细。
胎漏,外伤胎漏,妊娠期外伤后阴道少量下血，神疲乏力，舌淡，苔正常，脉滑无力。
胎动不安,气虚胎动不安,妊娠胎动下坠，腹痛腰疫，阴道不时有少量出血，色淡质稀，或下黄水，面色胱白，精神疲倦，气短懒言，畏寒，舌质淡，苔薄白，脉滑无力或沉弱。
胎动不安,血虚胎动不安,妊娠腰疫腹痛，阴道不时下血，面色蒌黄，头晕心择，神疲乏力，皮肤不润，舌质淡红，苔薄或无苔，.脉滑而细。
